"stusps","station_id","usaf","wban","station_name","icao","lat","lon","elev_m","statefp","countyfp","county_geoid","county_name","state_name","climate_region","geometry"
"AL","72226699999","722266","99999","CRAIG FLD","KSEM",32.344,-86.988,50.6,"01","047","01047","Dallas","Alabama","Southeast",c(842610.658714054, 1070103.29729005)
"AL","99999973801","999999","73801","NORTHPORT 2 S","",33.213,-87.591,45.7,"01","125","01125","Tuscaloosa","Alabama","Southeast",c(777816.186734433, 1161503.9917669)
"AL","72036263874","720362","63874","MAC CRENSHAW MEMORIAL AIRPORT","KPRN",31.847,-86.614,134.9,"01","013","01013","Butler","Alabama","Southeast",c(882928.830548225, 1018373.8374824)
"AL","72228403892","722284","03892","ABRN-OPLKA R G PITTS ARPT","KAUO",32.616,-85.433,236.5,"01","081","01081","Lee","Alabama","Southeast",c(984080.252594162, 1115219.31708819)
"AL","72226903850","722269","03850","CAIRNS ARMY AIRFIELD (FORT RUCKER)","KOZR",31.267,-85.717,91.7,"01","045","01045","Dale","Alabama","Southeast",c(973966.47455924, 962911.92259471)
"AL","99849199999","998491","99999","PERDIDO PASS","",30.279,-87.556,2.4,"01","003","01003","Baldwin","Alabama","Southeast",c(810037.359186591, 836356.250729876)
"AL","72323003856","723230","03856","HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT","KHSV",34.644,-86.786,190,"01","089","01089","Madison","Alabama","Southeast",c(836574.215882343, 1327563.97432955)
"AL","99999923802","999999","23802","THOMASVILLE 2 S","",31.881,-87.737,106.7,"01","025","01025","Clarke","Alabama","Southeast",c(777245.312439501, 1012335.69665688)
"AL","99999963895","999999","63895","RUSSELLVILLE 4 SSE","",34.454,-87.71,219.5,"01","059","01059","Franklin","Alabama","Southeast",c(754756.719558888, 1298669.49122469)
"AL","72227553843","722275","53843","ANDALUSIA-OPP MUNICIPAL AIRPORT","K79J",31.306,-86.39,97.5,"01","039","01039","Covington","Alabama","Southeast",c(910009.483811882, 960556.821596793)
"AL","99999963892","999999","63892","GAINESVILLE 2 NE","",32.837,-88.137,32.6,"01","063","01063","Greene","Alabama","Southeast",c(730899.675710005, 1115359.52871355)
"AL","72085600284","720856","00284","SCOTTSBORO MUNICIPAL AIRPORT WORD FIELD","K4A6",34.689,-86.006,198.1,"01","071","01071","Jackson","Alabama","Southeast",c(906614.052360436, 1339725.20897657)
"AL","72026563833","720265","63833","THOMAS C RUSSELL FLD ARPT","KALX",32.915,-85.963,209.1,"01","123","01123","Tallapoosa","Alabama","Southeast",c(931394.655038127, 1143039.15692111)
"AL","72228693806","722286","93806","TUSCALOOSA MUNICIPAL ARPT","KTCL",33.212,-87.616,45.3,"01","125","01125","Tuscaloosa","Alabama","Southeast",c(775519.582766724, 1161188.47473555)
"AL","72059200186","720592","00186","H L SONNY CALLAHAN AIRPORT","KCQF",30.46,-87.877,28,"01","003","01003","Baldwin","Alabama","Southeast",c(777604.029281498, 853700.783169616)
"AL","72223863873","722238","63873","HANCHEY ARMY HELIPORT (FORT RUCKER)","KHEY",31.35,-85.667,96.6,"01","045","01045","Dale","Alabama","Southeast",c(977681.410049983, 972606.917957997)
"AL","72226813839","722268","13839","DOTHAN REGIONAL AIRPORT","KDHN",31.318,-85.443,112.2,"01","045","01045","Dale","Alabama","Southeast",c(999184.14880473, 971397.220050112)
"AL","72223013894","722230","13894","MOBILE REGIONAL AIRPORT","KMOB",30.688,-88.246,65.5,"01","097","01097","Mobile","Alabama","Southeast",c(740295.742995905, 875998.706786539)
"AL","99999963899","999999","63899","BREWTON 3 NNE","",31.145,-87.052,51.8,"01","053","01053","Escambia","Alabama","Southeast",c(849198.377228104, 936602.250119702)
"AL","99999963862","999999","63862","VALLEY HEAD 1 SSW","",34.565,-85.617,310.9,"01","049","01049","DeKalb","Alabama","Southeast",c(943276.828525252, 1329722.5535199)
"AL","99819699999","998196","99999","MOBILE STATE DOCKS","",30.7,-88.033,0,"01","097","01097","Mobile","Alabama","Southeast",c(760472.741400048, 879009.658855141)
"AL","72036163870","720361","63870","FLORALA MUNI","K0J4",31.043,-86.312,95.7,"01","039","01039","Covington","Alabama","Southeast",c(920347.586097425, 932200.883278017)
"AL","72059299999","720592","99999","FAIRHOPE/SONNY CALLAHAN AIRPORT","KCQF",30.461,-87.877,27.7,"01","003","01003","Baldwin","Alabama","Southeast",c(777594.545941484, 853811.461030782)
"AL","72050499999","720504","99999","TALLADEGA MUNI","KASN",33.57,-86.051,160.9,"01","121","01121","Talladega","Alabama","Southeast",c(915617.069431696, 1214905.62141958)
"AL","99999963893","999999","63893","GREENSBORO 2 WNW","",32.717,-87.623,85.3,"01","065","01065","Hale","Alabama","Southeast",c(779736.751577229, 1106105.96068047)
"AL","72230053864","722300","53864","SHELBY COUNTY AIRPORT","KEET",33.178,-86.782,172.5,"01","117","01117","Shelby","Alabama","Southeast",c(852801.029650752, 1164554.14203474)
"AL","99999963867","999999","63867","CULLMAN 3 ENE","",34.195,-86.796,243.8,"01","043","01043","Cullman","Alabama","Southeast",c(840523.885962399, 1277506.35685349)
"AL","99801699999","998016","99999","WEEKS BAY RESERVE","",30.417,-87.833,0,"01","003","01003","Baldwin","Alabama","Southeast",c(782215.712415111, 849303.048713598)
"AL","72038163885","720381","63885","JACK EDWARDS AIRPORT","KJKA",30.291,-87.672,4.9,"01","003","01003","Baldwin","Alabama","Southeast",c(798821.496883036, 836701.655345795)
"AL","99999963869","999999","63869","FAIRHOPE 3 NE","",30.549,-87.876,29,"01","003","01003","Baldwin","Alabama","Southeast",c(776855.324681947, 863560.20960695)
"AL","72227953852","722279","53852","PRYOR FIELD REGIONAL ARPT","KDCU",34.658,-86.943,179.1,"01","083","01083","Limestone","Alabama","Southeast",c(822214.143455437, 1327752.36335856)
"AL","72228503896","722285","03896","GADSDEN MUNICIPAL AIRPORT","KGAD",33.967,-86.083,173.4,"01","055","01055","Etowah","Alabama","Southeast",c(908062.652007066, 1258711.10794423)
"AL","72228713871","722287","13871","ANNISTON METROPOLITAN ARPT","KANB",33.59,-85.848,181.8,"01","015","01015","Calhoun","Alabama","Southeast",c(933990.783499539, 1219102.53323607)
"AL","72030763804","720307","63804","MADISON CO EXECUTIVE ARPT","KMDQ",34.861,-86.557,230.1,"01","089","01089","Madison","Alabama","Southeast",c(854890.442642967, 1353758.00006098)
"AL","99819299999","998192","99999","COAST GUARD SECTOR","",30.65,-88.05,10,"01","097","01097","Mobile","Alabama","Southeast",c(759318.136715993, 873336.513127125)
"AL","72041399999","720413","99999","HALEYVIILLE / POSEY FIELD","K1M4",34.267,-87.6,284,"01","133","01133","Winston","Alabama","Southeast",c(766591.317368381, 1278722.52529334)
"AL","72221999999","722219","99999","SHELL AHP","KSXS",31.363,-85.849,121.9,"01","031","01031","Coffee","Alabama","Southeast",c(960372.9414861, 972189.43563514)
"AL","99999973803","999999","73803","TALLADEGA 10 NNE","",33.572,-86.057,160,"01","121","01121","Talladega","Alabama","Southeast",c(915043.570149812, 1215069.99833998)
"AL","72323163883","723231","63883","REDSTONE ARMY AIRFIELD","KHUA",34.679,-86.685,208.8,"01","089","01089","Madison","Alabama","Southeast",c(845332.075965526, 1332353.74227294)
"AL","72228013876","722280","13876","BIRMINGHAM INTERNATIONAL AIRPORT","KBHM",33.565,-86.745,187.7,"01","073","01073","Jefferson","Alabama","Southeast",c(852011.469078115, 1207895.72629664)
"AL","72041300138","720413","00138","POSEY FIELD AIRPORT","K1M4",34.267,-87.6,284.1,"01","133","01133","Winston","Alabama","Southeast",c(766591.317368381, 1278722.52529334)
"AL","99999963896","999999","63896","SCOTTSBORO 2 NE","",34.694,-86,193.9,"01","071","01071","Jackson","Alabama","Southeast",c(907097.598572737, 1340338.61961155)
"AL","72050799999","720507","99999","BESSEMER AIPORT","KEKY",33.313,-86.926,213.1,"01","073","01073","Jefferson","Alabama","Southeast",c(838082.830993372, 1178275.14020846)
"AR","72343553921","723435","53921","MOUNT IDA","KMWT",34.547,-93.578,214,"05","097","05097","Montgomery","Arkansas","South",c(220500.132133754, 1278938.62435719)
"AR","99999900100","999999","00100","DEXTER B FLORENCE MEM FLD AP","",34.1,-93.066,55.5,"05","019","05019","Clark","Arkansas","South",c(268642.033106118, 1230300.28036593)
"AR","72017553919","720175","53919","MONTCELO MUNI/ELLIS FLD AP","KLLQ",33.636,-91.756,85,"05","043","05043","Drew","Arkansas","South",c(390835.042769625, 1183034.54301222)
"AR","72342599999","723425","99999","HARRELL FLD","KCDH",33.623,-92.763,39.6,"05","103","05103","Ouachita","Arkansas","South",c(298190.109851112, 1177932.90810956)
"AR","72040199999","720401","99999","CLINTON MUNI","KCCA",35.6,-92.45,157,"05","141","05141","Van Buren","Arkansas","South",c(318753.372847578, 1399905.55707243)
"AR","72017253996","720172","53996","MENA INTERMOUNTAIN MUNICIPAL AIRPORT","KMEZ",34.545,-94.203,328.9,"05","113","05113","Polk","Arkansas","South",c(163611.999557929, 1277451.92561836)
"AR","72342453919","723424","53919","MONTICELLO MUNI","KLLQ",33.636,-91.756,82.3,"05","043","05043","Drew","Arkansas","South",c(390835.042769625, 1183034.54301222)
"AR","99999923904","999999","23904","BATESVILLE 8 WNW","",35.82,-91.781,138.7,"05","063","05063","Independence","Arkansas","South",c(377693.211807253, 1426967.21999077)
"AR","72343953918","723439","53918","OZARK REGIONAL AIRPORT","KBPK",36.371,-92.472,281.1,"05","005","05005","Baxter","Arkansas","South",c(313574.472121228, 1486109.79987135)
"AR","72340313963","723403","13963","ADAMS FIELD AIRPORT","KLIT",34.727,-92.236,76.4,"05","119","05119","Pulaski","Arkansas","South",c(341826.856490865, 1303030.62932846)
"AR","72039400428","720394","00428","DEXTER B FLORENCE MEMORIAL FIELD AIRPORT","KADF",34.1,-93.066,55.8,"05","019","05019","Clark","Arkansas","South",c(268642.033106118, 1230300.28036593)
"AR","72345013971","723450","13971","BOONE COUNTY AIRPORT","KHRO",36.267,-93.157,418,"05","009","05009","Boone","Arkansas","South",c(253059.324152612, 1472425.33671041)
"AR","72218853985","722188","53985","SEARCY MUNICIPAL AIRPORT","KSRC",35.212,-91.737,80.5,"05","145","05145","White","Arkansas","South",c(384681.516570128, 1359152.48171518)
"AR","72344403978","723444","03978","BENTONVILLE MUNI/LOUIS M THADEN FIELD AIRPORT","KVBT",36.35,-94.217,395,"05","007","05007","Benton","Arkansas","South",c(158547.224752877, 1479423.72869934)
"AR","72344593993","723445","93993","DRAKE FIELD AIRPORT","KFYV",36.01,-94.168,377.1,"05","143","05143","Washington","Arkansas","South",c(163637.871896838, 1441434.7016308)
"AR","72039499999","720394","99999","DEXTER B FLORENCE MEM FLD","KADF",34.1,-93.066,55.5,"05","019","05019","Clark","Arkansas","South",c(268642.033106118, 1230300.28036593)
"AR","72344953954","723449","53954","ROGERS MUNI-CARTER FLD APT","KROG",36.372,-94.107,412.4,"05","007","05007","Benton","Arkansas","South",c(168278.2627497, 1482076.64637732)
"AR","72344353955","723443","53955","SMITH FIELD AIRPORT","KSLG",36.191,-94.491,363.6,"05","007","05007","Benton","Arkansas","South",c(134467.703286682, 1461195.35369201)
"AR","72344853934","723448","53934","BATESVILLE REGIONAL ARPT","KBVX",35.726,-91.647,141.1,"05","063","05063","Independence","Arkansas","South",c(390162.804633326, 1416994.7042776)
"AR","72344703918","723447","03918","MARION COUNTY RGNL AIRPORT","KFLP",36.291,-92.59,219.2,"05","089","05089","Marion","Arkansas","South",c(303412.475894028, 1476772.05665967)
"AR","72340693991","723406","93991","WALNUT RIDGE REGIONAL ARPT","KARG",36.125,-90.924,83.2,"05","075","05075","Lawrence","Arkansas","South",c(452523.337783215, 1464824.21733219)
"AR","72340953869","723409","53869","BLYTHEVILLE MUNI AIRPORT","KHKA",35.938,-89.833,77.6,"05","093","05093","Mississippi","Arkansas","South",c(551019.06901618, 1449679.72465117)
"AR","72037799999","720377","99999","NEWPORT MUNI","KM19",35.638,-91.176,72.8,"05","067","05067","Jackson","Arkansas","South",c(432844.298618326, 1409193.57684666)
"AR","72205453959","722054","53959","WEST MEMPHIS MUNICIPAL APT","KAWM",35.14,-90.236,63.7,"05","035","05035","Crittenden","Arkansas","South",c(520471.586310204, 1358254.64942087)
"AR","72341813977","723418","13977","TEXARKANA REGIONAL AIRPORT-WEBB FIELD","KTXK",33.456,-93.988,115.8,"05","091","05091","Miller","Arkansas","South",c(185760.853712453, 1156168.27619959)
"AR","72340813814","723408","13814","ARKANSAS INTERNATIONAL AIRPORT","KBYH",35.967,-89.95,77.4,"05","093","05093","Mississippi","Arkansas","South",c(540372.831959041, 1452248.57598716)
"AR","74331253925","743312","53925","J.L. HELMS SEVIER CO ARPT","KDEQ",34.048,-94.402,106.6,"05","133","05133","Sevier","Arkansas","South",c(146429.674515696, 1221572.18241897)
"AR","72065499999","720654","99999","CORNING MUNI","",36.404,-90.648,89.3,"05","021","05021","Clay","Arkansas","South",c(475344.357642941, 1497373.54923504)
"AR","72343403973","723434","03973","SPRINGDALE MUNICIPAL ARPT","KASG",36.176,-94.119,412.4,"05","143","05143","Washington","Arkansas","South",c(167646.147683765, 1460106.95790791)
"AR","72340703953","723407","03953","JONESBORO MUNICIPAL ARPT","KJBR",35.836,-90.644,78.9,"05","031","05031","Craighead","Arkansas","South",c(479282.445238357, 1433883.0648116)
"AR","72343653922","723436","53922","NW ARKANSAS REGIONAL ARPT","KXNA",36.29,-94.312,389.6,"05","007","05007","Benton","Arkansas","South",c(150219.94932508, 1472550.06853591)
"AR","72342500373","723425","00373","HARRELL FIELD AIRPORT","KCDH",33.617,-92.767,40.2,"05","103","05103","Ouachita","Arkansas","South",c(297844.571029414, 1177250.53942771)
"AR","72344013964","723440","13964","FORT SMITH REGIONAL AIRPORT","KFSM",35.333,-94.365,136.7,"05","131","05131","Sebastian","Arkansas","South",c(147347.193609272, 1365332.28442921)
"AR","72341993992","723419","93992","S. AR RGNL AT GDWIN FLD AP","KELD",33.221,-92.814,78,"05","139","05139","Union","Arkansas","South",c(294998.523138849, 1132907.54189013)
"AR","72340503930","723405","03930","LITTLE ROCK AFB AIRPORT","KLRF",34.917,-92.15,94.8,"05","119","05119","Pulaski","Arkansas","South",c(348771.878748483, 1324580.40444125)
"AR","72341503962","723415","03962","MEMORIAL FIELD AIRPORT","KHOT",34.476,-93.104,154,"05","051","05051","Garland","Arkansas","South",c(263882.986099265, 1272209.979002)
"AR","72037713917","720377","13917","NEWPORT MUNICIPAL AIRPORT","KM19",35.633,-91.167,72.9,"05","067","05067","Jackson","Arkansas","South",c(433679.602858742, 1408675.57596533)
"AR","72340003952","723400","03952","NORTH LITTLE ROCK AIRPORT","KLZK",34.835,-92.26,171.6,"05","119","05119","Pulaski","Arkansas","South",c(339173.113592249, 1315016.12130423)
"AR","72341793988","723417","93988","GRIDER FIELD AIRPORT","KPBF",34.18,-91.934,62.1,"05","069","05069","Jefferson","Arkansas","South",c(371852.961061405, 1243051.31155845)
"AR","72341613925","723416","13925","STUTTGART MUNICIPAL ARPT","KSGT",34.6,-91.574,68.3,"05","117","05117","Prairie","Arkansas","South",c(402567.332236824, 1291432.02224401)
"AZ","72375600375","723756","00375","SEDONA AIRPORT","KSEZ",34.85,-111.783,1471.3,"04","025","04025","Yavapai","Arizona","Southwest",c(-1424848.32599277, 1428610.50917616)
"AZ","99999953156","999999","53156","PHOENIX 7 S","",33.347,-112.083,427.9,"04","013","04013","Maricopa","Arizona","Southwest",c(-1479969.19465978, 1267561.43814582)
"AZ","99999953132","999999","53132","ELGIN 5 S","",31.591,-110.509,1466.4,"04","023","04023","Santa Cruz","Arizona","Southwest",c(-1366095.19816998, 1050714.26570149)
"AZ","72370093167","723700","93167","KINGMAN AIRPORT","KIGM",35.257,-113.934,1043.5,"04","015","04015","Mohave","Arizona","Southwest",c(-1608321.95645855, 1507766.61636616)
"AZ","72064499999","720644","99999","BUCKEYE MUNI","KBXK",33.42,-112.686,311.2,"04","013","04013","Maricopa","Arizona","Southwest",c(-1533472.85365467, 1285152.59695643)
"AZ","72374703101","723747","03101","SHOW LOW MUNICIPAL AIRPORT","KSOW",34.264,-110.008,1954.1,"04","017","04017","Navajo","Arizona","Southwest",c(-1275467.43210666, 1338658.73403799)
"AZ","72278303185","722783","03185","FALCON FIELD AIRPORT","KFFZ",33.466,-111.721,423.3,"04","013","04013","Maricopa","Arizona","Southwest",c(-1444777.3950176, 1275093.98758733)
"AZ","99999953176","999999","53176","GILA BEND 3 ENE","",32.965,-112.67,237.7,"04","013","04013","Maricopa","Arizona","Southwest",c(-1540881.73296086, 1234880.48215471)
"AZ","99999953169","999999","53169","KAYENTA 16 WSW","",36.682,-110.542,2217.1,"04","017","04017","Navajo","Arizona","Southwest",c(-1282464.34633457, 1613440.67602621)
"AZ","72272803196","722728","03196","NOGALES INTERNATIONAL ARPT","KOLS",31.421,-110.847,1193,"04","023","04023","Santa Cruz","Arizona","Southwest",c(-1400607.71007525, 1036935.6407918)
"AZ","99999953160","999999","53160","CAMP VERDE 3 N","",34.614,-111.843,1046.7,"04","025","04025","Yavapai","Arizona","Southwest",c(-1434595.18520796, 1403480.16974291)
"AZ","72278903192","722789","03192","SCOTTSDALE AIRPORT","KSDL",33.612,-111.923,436.1,"04","013","04013","Maricopa","Arizona","Southwest",c(-1460449.03860201, 1294262.85303704)
"AZ","72272093063","722720","93063","BISBEE DOUGLAS INTL","KSVC",32.633,-108.167,1659.9,"35","017","35017","Grant","New Mexico","Southwest",c(-1132081.38021111, 1134916.45586544)
"AZ","99999953172","999999","53172","LAKE HAVASU CITY 19 SE","",34.253,-114.134,126.8,"04","012","04012","La Paz","Arizona","Southwest",c(-1647340.58582351, 1400905.13555418)
"AZ","72276403029","722764","03029","WINDOW ROCK AIRPORT","KRQE",35.657,-109.06,2055.2,"04","001","04001","Apache","Arizona","Southwest",c(-1168363.38545789, 1480740.59769958)
"AZ","74724003148","747240","03148","GILA BEND AF AUX AIRPORT","KGBN",32.883,-112.717,257.9,"04","013","04013","Maricopa","Arizona","Southwest",c(-1546782.62518852, 1226634.51351411)
"AZ","99999953006","999999","53006","AMADO 23 W","",31.692,-111.448,1005.8,"04","019","04019","Pima","Arizona","Southwest",c(-1451930.62505136, 1075743.15404787)
"AZ","72374500374","723745","00374","PAYSON AIRPORT","KPAN",34.257,-111.339,1572.2,"04","007","04007","Gila","Arizona","Southwest",c(-1395776.44069686, 1356592.00022482)
"AZ","99999953159","999999","53159","CAMERON 25 SSE","",35.504,-111.345,1465.2,"04","005","04005","Coconino","Arizona","Southwest",c(-1373890.07209482, 1494367.32342921)
"AZ","72375003103","723750","03103","FLAGSTAFF PULLIAM AIRPORT","KFLG",35.144,-111.666,2133.3,"04","005","04005","Coconino","Arizona","Southwest",c(-1408984.07451785, 1459311.03345058)
"AZ","72372323184","723723","23184","ERNEST A. LOVE FIELD ARPT","KPRC",34.649,-112.422,1527.8,"04","025","04025","Yavapai","Arizona","Southwest",c(-1485837.43124663, 1416234.94468896)
"AZ","99999903077","999999","03077","HOLBROOK 17 ESE","",34.822,-109.893,1710.8,"04","017","04017","Navajo","Arizona","Southwest",c(-1255981.29920855, 1398857.42874321)
"AZ","74917399999","749173","99999","COOLIDGE MUNI","KP08",32.936,-111.427,479.8,"04","021","04021","Pinal","Arizona","Southwest",c(-1427561.08654312, 1212276.8770137)
"AZ","72033999999","720339","99999","RYAN FLD","KRYN",32.142,-111.175,736.7,"04","019","04019","Pima","Arizona","Southwest",c(-1418521.32872107, 1121101.68296261)
"AZ","99999953170","999999","53170","HEBER 3 SE","",34.398,-110.566,2019.3,"04","017","04017","Navajo","Arizona","Southwest",c(-1323596.80764258, 1361101.89050272)
"AZ","72274803914","722748","03914","CASA GRANDE MUNICIPAL ARPT","KCGZ",32.95,-111.767,445.6,"04","021","04021","Pinal","Arizona","Southwest",c(-1458479.43980077, 1218980.87316429)
"AZ","72378853135","723788","53135","LAUGHLIN/BULLHEAD INTERNATIONAL AIRPORT","KIFP",35.157,-114.559,211.8,"04","015","04015","Mohave","Arizona","Southwest",c(-1665841.44307957, 1507547.92898181)
"AZ","72371003162","723710","03162","PAGE MUNICIPAL AIRPORT","KPGA",36.921,-111.449,1307,"04","005","04005","Coconino","Arizona","Southwest",c(-1357434.24202766, 1652483.21826418)
"AZ","99999953154","999999","53154","YUMA 27 ENE","",32.835,-114.188,189,"04","027","04027","Yuma","Arizona","Southwest",c(-1682311.92499419, 1246360.43681616)
"AZ","72278023183","722780","23183","PHOENIX SKY HARBOR INTL AIRPORT","KPHX",33.428,-112.004,339.2,"04","013","04013","Maricopa","Arizona","Southwest",c(-1471252.56566473, 1275251.13407513)
"AZ","99999953011","999999","53011","TSAILE 1 SSW","",36.292,-109.218,2155.2,"04","001","04001","Apache","Arizona","Southwest",c(-1172549.18570979, 1553115.53678401)
"AZ","72278523111","722785","23111","LUKE AFB AIRPORT","KLUF",33.55,-112.367,330.7,"04","013","04013","Maricopa","Arizona","Southwest",c(-1501961.3869329, 1294357.64488149)
"AZ","72374023194","723740","23194","WINSLOW-LINDBERGH REGIONAL AIRPORT","KINW",35.028,-110.722,1489.2,"04","017","04017","Navajo","Arizona","Southwest",c(-1326786.73936942, 1432908.76244196)
"AZ","72033900121","720339","00121","RYAN FIELD AIRPORT","KRYN",32.15,-111.167,737,"04","019","04019","Pima","Arizona","Southwest",c(-1417638.18125031, 1121862.54483939)
"AZ","99999903085","999999","03085","BOWIE 23 SSE","",32.01,-109.389,1564.5,"04","003","04003","Cochise","Arizona","Southwest",c(-1254816.60940999, 1081436.32533809)
"AZ","72281353146","722813","53146","PIONEER AIRFIELD","KALK",31.606,-110.428,1445.4,"04","003","04003","Cochise","Arizona","Southwest",c(-1358274.91880829, 1051203.96444431)
"AZ","72274523109","722745","23109","DAVIS-MONTHAN AFB AIRPORT","KDMA",32.167,-110.883,824.2,"04","019","04019","Pima","Arizona","Southwest",c(-1391017.06625333, 1119536.81549175)
"AZ","99999953131","999999","53131","TUCSON 11 W","",32.24,-111.17,833,"04","019","04019","Pima","Arizona","Southwest",c(-1416321.75133936, 1131810.82722427)
"AZ","72064400226","720644","00226","BUCKEYE MUNICIPAL AIRPORT","KBXK",33.417,-112.683,311.2,"04","013","04013","Maricopa","Arizona","Southwest",c(-1533258.4962087, 1284774.32906872)
"AZ","74916799999","749167","99999","PINAL AIRPARK","KMZJ",32.511,-111.328,576.7,"04","021","04021","Pinal","Arizona","Southwest",c(-1426093.5595366, 1163999.46159997)
"AZ","A0001553129","A00015","53129","COLORADO CITY MUNI AIRPORT","KAZC",36.96,-113.014,1485.6,"04","015","04015","Mohave","Arizona","Southwest",c(-1492761.91573247, 1680258.51899737)
"AZ","99999953162","999999","53162","COOLIDGE 5 W","",32.992,-111.533,434.3,"04","021","04021","Pinal","Arizona","Southwest",c(-1436265.8501341, 1220040.68042959)
